,Touches,Take-Ons,Carries,Receiving,,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
115,Justin Devenny,nir NIR,MF,Crystal Palace,21-111,2003,3.0,151,4,29,72,53,4,151,2,1,50.0,1,50.0,68,376,182,3,4,1,7,2,89,7,Matches,,,,,,
116,Kiernan Dewsbury-Hall,eng ENG,MF,Chelsea,26-146,1998,1.5,99,2,17,50,32,5,99,3,1,33.3,2,66.7,53,281,130,3,0,0,1,3,77,7,Matches,,,,,,
117,Amad Diallo,ci CIV,"FW,MF",Manchester Utd,22-203,2002,16.7,953,12,147,353,469,100,953,70,34,48.6,32,45.7,615,4251,2170,86,46,46,34,31,670,142,Matches,,,,,,
118,Rúben Dias,pt POR,DF,Manchester City,27-261,1997,13.1,1313,121,425,686,204,15,1313,1,0,0.0,1,100.0,920,5230,3094,19,38,1,3,1,1068,5,Matches,,,,,,
119,Luis Díaz,co COL,FW,Liverpool,28-017,1997,14.9,657,9,49,234,387,95,657,69,28,40.6,33,47.8,432,3218,1643,59,32,32,31,29,517,141,Matches,,,,,,
120,Tyler Dibling,eng ENG,"FW,MF",Southampton,18-324,2006,13.7,573,15,65,261,260,31,573,76,28,36.8,31,40.8,376,3174,1655,51,38,20,31,35,436,70,Matches,,,,,,
121,Lucas Digne,fr FRA,DF,Aston Villa,31-194,1993,19.2,1169,71,408,349,422,24,1169,15,8,53.3,7,46.7,542,2451,1110,18,12,3,13,11,641,111,Matches,,,,,,
122,Issa Diop,fr FRA,DF,Fulham,28-021,1997,11.9,733,106,399,317,18,11,733,1,1,100.0,0,0.0,441,2002,1020,4,2,0,7,1,509,1,Matches,,,,,,
123,Axel Disasi,fr FRA,DF,Chelsea,26-325,1998,4.0,323,17,110,175,40,2,323,1,1,100.0,0,0.0,196,953,519,6,3,0,1,3,242,2,Matches,,,,,,
124,Roman Dixon,eng ENG,DF,Everton,20-035,2004,1.0,36,8,19,14,4,0,36,3,0,0.0,3,100.0,16,107,48,0,0,0,2,0,13,1,Matches,,,,,,
125,Matt Doherty,ie IRL,DF,Wolves,33-014,1992,11.9,792,62,292,374,133,21,792,10,6,60.0,3,30.0,395,1830,1016,16,9,3,9,3,490,31,Matches,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,,,,,,
126,Jeremy Doku,be BEL,"FW,MF",Manchester City,22-248,2002,8.8,536,3,28,115,404,77,536,89,45,50.6,27,30.3,403,3701,2353,104,48,48,30,30,440,147,Matches,,,,,,
127,Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,26-216,1998,12.2,711,40,175,367,174,15,711,4,1,25.0,2,50.0,287,1064,485,9,7,2,11,8,403,15,Matches,,,,,,
128,Alfie Dorrington,eng ENG,DF,Tottenham,19-285,2005,0.2,16,0,11,5,0,0,16,0,0,,0,,12,61,26,0,0,0,0,0,13,0,Matches,,,,,,
129,Abdoulaye Doucouré,ml MLI,MF,Everton,32-029,1993,17.7,741,25,168,342,242,25,741,20,11,55.0,9,45.0,384,1946,934,28,18,3,22,25,483,55,Matches,,,,,,
