,Touches,Take-Ons,Carries,Receiving,,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC
Hamza Choudhury,engENG,"MF,DF",Leicester City,27-134,1997,1.5,100,4,19,61,20,3,100,4,3,75.0,1,25.0,63,246,130,4,2,2,1,0,71,6,Matches
Ryan Christie,sctSCO,MF,Bournemouth,29-356,1995,19.5,1114,63,211,625,299,36,1114,41,18,43.9,20,48.8,588,3090,1429,28,34,5,39,20,630,40,Matches
Harry Clarke,engENG,DF,Ipswich Town,23-347,2001,4.2,268,18,100,122,47,2,268,2,1,50.0,1,50.0,118,555,222,5,7,0,4,2,163,2,Matches
Jack Clarke,engENG,"FW,MF",Ipswich Town,24-081,2000,6.8,285,7,63,128,104,18,285,26,17,65.4,6,23.1,160,1213,596,16,9,4,15,11,178,29,Matches
Nathaniel Clyne,engENG,"DF,MF",Crystal Palace,33-313,1991,4.4,201,16,77,91,33,2,201,1,0,0.0,1,100.0,107,463,249,5,2,2,4,2,122,7,Matches
Conor Coady,engENG,DF,Leicester City,31-353,1993,8.0,503,84,267,227,9,3,503,1,1,100.0,0,0.0,348,1318,677,0,2,1,4,0,375,0,Matches
Séamus Coleman,ieIRL,DF,Everton,36-124,1988,2.2,100,11,39,43,19,2,100,5,4,80.0,1,20.0,43,225,109,1,1,0,1,1,51,2,Matches
Nathan Collins,ieIRL,DF,Brentford,23-288,2001,24.0,1618,249,856,648,123,49,1618,9,5,55.6,3,33.3,866,4684,2735,20,8,0,10,7,1007,16,Matches
Toby Collyer,engENG,MF,Manchester Utd,21-040,2004,1.4,84,3,26,40,18,1,84,1,1,100.0,0,0.0,46,183,48,0,0,0,6,1,53,2,Matches
Levi Colwill,engENG,DF,Chelsea,21-352,2003,22.0,1861,229,845,945,77,19,1861,6,3,50.0,3,50.0,1093,5151,3025,9,9,0,9,5,1363,5,Matches
Lewis Cook,engENG,"MF,DF",Bournemouth,28-009,1997,21.6,1264,56,281,684,316,14,1264,11,6,54.5,5,45.5,563,2903,1575,26,20,3,22,13,633,32,Matches
Maxwel Cornet,ciCIV,FW,Southampton,28-138,1996,0.8,34,1,8,14,13,2,34,1,0,0.0,1,100.0,16,73,26,1,0,1,3,0,23,5,Matches
Vladimír Coufal,czCZE,DF,West Ham,32-174,1992,8.2,484,48,188,191,106,8,484,7,2,28.6,2,28.6,190,932,425,11,4,1,8,5,252,21,Matches
Woyo Coulibaly,frFRA,DF,Leicester City,25-268,1999,0.2,17,1,7,9,2,0,17,0,0,,0,,11,75,44,1,1,0,3,0,7,1,Matches
Aaron Cresswell,engENG,DF,West Ham,35-059,1989,3.3,209,15,76,97,39,1,209,0,0,,0,,89,330,140,3,5,0,1,0,121,2,Matches
Marc Cucurella,esESP,DF,Chelsea,26-205,1998,20.0,1334,68,395,649,296,43,1334,9,3,33.3,6,66.7,569,2421,1453,23,11,1,18,4,834,72,Matches
Jorge Cuenca,esESP,DF,Fulham,25-087,1999,1.0,52,15,35,17,1,0,52,0,0,,0,,13,47,29,0,0,0,0,0,22,0,Matches
Matheus Cunha,brBRA,"MF,FW",Wolves,25-261,1999,20.8,1075,19,145,498,473,94,1074,99,42,42.4,46,46.5,610,4885,2429,83,64,29,59,35,708,122,Matches
Patson Daka,zmZAM,"FW,MF",Leicester City,26-126,1998,3.4,103,6,15,43,48,15,103,5,1,20.0,2,40.0,55,251,107,3,4,1,4,7,64,17,Matches
