,Standard,Expected,,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG
Lucas Digne,frFRA,DF,Aston Villa,31-207,1993,19.7,0,12,3,25.0,0.61,0.15,0.00,0.00,22.6,5,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches
Issa Diop,frFRA,DF,Fulham,28-034,1997,11.9,0,5,2,40.0,0.42,0.17,0.00,0.00,10.7,0,0,0,0.5,0.5,0.11,-0.5,-0.5,Matches
Axel Disasi,frFRA,DF,Chelsea,26-338,1998,4.0,1,2,1,50.0,0.49,0.25,0.50,1.00,12.3,0,0,0,0.3,0.3,0.14,+0.7,+0.7,Matches
Roman Dixon,engENG,DF,Everton,20-048,2004,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Matt Doherty,ieIRL,DF,Wolves,33-027,1992,12.9,2,8,3,37.5,0.62,0.23,0.25,0.67,10.9,0,0,0,0.9,0.9,0.12,+1.1,+1.1,Matches
Jeremy Doku,beBEL,"FW,MF",Manchester City,22-261,2002,8.8,3,17,6,35.3,1.94,0.68,0.18,0.50,18.1,0,0,0,0.8,0.8,0.04,+2.2,+2.2,Matches
Nicolás Domínguez,arARG,"MF,FW",Nott'ham Forest,26-229,1998,12.5,0,13,4,30.8,1.04,0.32,0.00,0.00,18.0,0,0,0,1.2,1.2,0.10,-1.2,-1.2,Matches
Alfie Dorrington,engENG,DF,Tottenham,19-298,2005,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Abdoulaye Doucouré,mlMLI,MF,Everton,32-042,1993,18.7,1,14,3,21.4,0.75,0.16,0.07,0.33,14.3,0,0,0,1.7,1.7,0.12,-0.7,-0.7,Matches
Cheick Doucouré,mlMLI,MF,Crystal Palace,25-035,2000,5.0,0,7,0,0.0,1.39,0.00,0.00,,20.6,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
Flynn Downes,engENG,MF,Southampton,26-023,1999,15.9,1,9,3,33.3,0.57,0.19,0.11,0.33,17.6,0,0,0,0.6,0.6,0.07,+0.4,+0.4,Matches
Tommy Doyle,engENG,MF,Wolves,23-118,2001,5.1,0,8,2,25.0,1.56,0.39,0.00,0.00,24.8,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
Radu Drăgușin,roROU,DF,Tottenham,23-009,2002,13.9,0,5,1,20.0,0.36,0.07,0.00,0.00,12.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Martin Dúbravka,skSVK,GK,Newcastle Utd,36-028,1989,9.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Lewis Dunk,engENG,DF,Brighton,33-083,1991,17.4,0,10,2,20.0,0.58,0.12,0.00,0.00,13.4,1,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
Jáder Durán,coCOL,FW,Aston Villa,21-061,2003,7.1,7,31,15,48.4,4.37,2.12,0.23,0.47,15.6,0,0,0,4.9,4.9,0.16,+2.1,+2.1,Matches
Ederson,brBRA,GK,Manchester City,31-179,1993,15.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
George Edmundson,engENG,DF,Ipswich Town,27-165,1997,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Odsonne Édouard,frFRA,"MF,FW",Crystal Palace,27-027,1998,1.3,0,5,1,20.0,3.91,0.78,0.00,0.00,20.9,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
Odsonne Édouard,frFRA,FW,Leicester City,27-027,1998,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Samuel Edozie,engENG,"DF,FW",Southampton,22-015,2003,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ronnie Edwards,engENG,DF,Southampton,21-321,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Anthony Elanga,seSWE,"FW,MF",Nott'ham Forest,22-291,2002,16.2,3,28,13,46.4,1.73,0.80,0.11,0.23,17.4,4,0,0,2.6,2.6,0.09,+0.4,+0.4,Matches
