,SCA,SCA Types,GCA,GCA Types,,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90
Kasey McAteer,ieIRL,"FW,MF",Leicester City,23-082,2001,4.3,12,2.80,11,0,0,0,1,0,1,0.23,1,0,0,0,0,0,Matches
Alex McCarthy,engENG,GK,Southampton,35-071,1989,5.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
John McGinn,sctSCO,"MF,FW",Aston Villa,30-117,1994,15.1,47,3.10,37,4,0,3,2,1,4,0.26,4,0,0,0,0,0,Matches
Dwight McNeil,engENG,"MF,FW",Everton,25-082,1999,12.7,60,4.74,33,18,4,2,2,1,6,0.47,3,1,1,0,0,1,Matches
Scott McTominay,sctSCO,MF,Manchester Utd,28-066,1996,0.2,1,4.74,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Ben Mee,engENG,DF,Brentford,35-144,1989,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jayden Meghoma,engENG,DF,Brentford,18-229,2006,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Mikel Merino,esESP,MF,Arsenal,28-235,1996,8.5,23,2.70,19,0,0,3,1,0,3,0.35,3,0,0,0,0,0,Matches
Nikola Milenković,rsSRB,DF,Nott'ham Forest,27-123,1997,23.0,12,0.52,8,0,0,3,0,1,2,0.09,2,0,0,0,0,0,Matches
Lewis Miley,engENG,MF,Newcastle Utd,18-287,2006,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
James Milner,engENG,MF,Brighton,39-039,1986,1.9,8,4.26,5,2,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Tyrone Mings,engENG,DF,Aston Villa,31-336,1993,5.2,9,1.73,8,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Yankuba Minteh,gmGAM,"FW,MF",Brighton,20-205,2004,9.3,29,3.12,16,5,6,1,1,0,5,0.54,2,0,2,1,0,0,Matches
Tyrick Mitchell,engENG,DF,Crystal Palace,25-164,1999,23.2,53,2.28,48,1,0,3,1,0,4,0.17,4,0,0,0,0,0,Matches
Kaoru Mitoma,jpJPN,"FW,MF",Brighton,27-268,1997,21.0,71,3.38,59,0,4,3,4,1,8,0.38,7,0,0,0,1,0,Matches
Jakub Moder,plPOL,MF,Brighton,25-311,1999,0.1,4,32.73,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Mikey Moore,engENG,"FW,MF",Tottenham,17-185,2007,2.1,10,4.86,6,2,0,1,1,0,2,0.97,1,0,0,1,0,0,Matches
Morato,brBRA,DF,Nott'ham Forest,23-227,2001,5.9,2,0.34,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Álex Moreno,esESP,DF,Nott'ham Forest,31-249,1993,9.0,11,1.22,10,1,0,0,0,0,2,0.22,2,0,0,0,0,0,Matches
Sam Morsy,egEGY,MF,Ipswich Town,33-155,1991,21.1,31,1.47,28,3,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches
Yerson Mosquera,coCOL,DF,Wolves,23-286,2001,4.9,5,1.02,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Mason Mount,engENG,"MF,FW",Manchester Utd,26-033,1999,2.7,8,2.91,5,2,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Divin Mubama,engENG,FW,Manchester City,20-110,2004,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Mykhailo Mudryk,uaUKR,FW,Chelsea,24-038,2001,1.7,6,3.60,4,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Rodrigo Muniz,brBRA,FW,Fulham,23-284,2001,7.5,9,1.20,6,0,1,0,1,1,0,0.00,0,0,0,0,0,0,Matches
Daniel Muñoz,coCOL,DF,Crystal Palace,28-262,1996,22.0,53,2.40,41,2,1,5,1,3,5,0.23,4,0,0,1,0,0,Matches
Arijanet Muric,xkKVX,GK,Ipswich Town,26-097,1998,18.0,1,0.06,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Murillo,brBRA,DF,Nott'ham Forest,22-223,2002,22.5,28,1.24,18,5,0,2,1,2,1,0.04,1,0,0,0,0,0,Matches
Jacob Murphy,engENG,FW,Newcastle Utd,29-354,1995,14.9,50,3.36,39,4,2,1,2,2,9,0.60,9,0,0,0,0,0,Matches
Vitaliy Mykolenko,uaUKR,DF,Everton,25-259,1999,20.2,24,1.19,23,0,0,1,0,0,1,0.05,0,0,0,1,0,0,Matches
Iliman Ndiaye,snSEN,FW,Everton,24-343,2000,20.6,52,2.53,40,0,7,0,5,0,4,0.19,3,0,1,0,0,0,Matches
Wilfred Ndidi,ngNGA,MF,Leicester City,28-058,1996,13.5,16,1.19,14,0,1,1,0,0,3,0.22,3,0,0,0,0,0,Matches
Kosta Nedeljković,rsSRB,DF,Aston Villa,19-058,2005,1.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Reiss Nelson,engENG,FW,Arsenal,25-064,1999,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Reiss Nelson,engENG,FW,Fulham,25-064,1999,5.4,31,5.73,21,2,3,4,0,1,1,0.18,1,0,0,0,0,0,Matches
Neto,brBRA,GK,Bournemouth,35-208,1989,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Pedro Neto,ptPOR,FW,Chelsea,24-340,2000,12.6,44,3.50,33,2,5,2,2,0,5,0.40,3,0,2,0,0,0,Matches
Eddie Nketiah,engENG,"MF,FW",Crystal Palace,25-258,1999,7.0,20,2.87,12,0,3,1,4,0,2,0.29,1,0,0,0,1,0,Matches
Christopher Nkunku,frFRA,FW,Chelsea,27-090,1997,5.1,20,3.89,14,0,4,2,0,0,2,0.39,0,0,1,1,0,0,Matches
Matheus Nunes,ptPOR,"DF,MF",Manchester City,26-169,1998,9.9,30,3.03,23,1,2,2,2,0,5,0.51,3,0,1,1,0,0,Matches
Darwin Núñez,uyURU,FW,Liverpool,25-233,1999,9.2,20,2.18,12,0,4,1,1,2,3,0.33,3,0,0,0,0,0,Matches
Ethan Nwaneri,engENG,"MF,FW",Arsenal,17-328,2007,3.2,8,2.47,4,2,1,1,0,0,1,0.31,1,0,0,0,0,0,Matches
Christian Nørgaard,dkDEN,MF,Brentford,30-339,1994,18.8,30,1.59,24,0,0,3,2,1,7,0.37,6,0,0,0,1,0,Matches
Jake O'Brien,ieIRL,DF,Everton,23-273,2001,3.5,3,0.87,2,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Matt O'Riley,dkDEN,MF,Brighton,24-083,2000,5.2,23,4.43,15,5,0,2,0,1,2,0.39,2,0,0,0,0,0,Matches
Dara O'Shea,ieIRL,DF,Ipswich Town,25-345,1999,20.7,12,0.58,10,0,0,1,0,1,1,0.05,1,0,0,0,0,0,Matches
