,Playing Time,Performance,Expected,Progression,Per 90 Minutes,,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
239,Jorginho,it ITA,MF,Arsenal,33-037,1991,10,6,459,5.1,0,0,0,0,0,0,3,0,0.0,0.0,0.4,0.5,8,32,2,0.00,0.00,0.00,0.00,0.00,0.01,0.08,0.09,0.01,0.09,Matches,,,,,,,
240,Diogo Jota,pt POR,FW,Liverpool,28-053,1996,13,7,629,7.0,5,2,7,5,0,0,1,0,4.9,4.9,1.1,6.0,24,18,54,0.72,0.29,1.00,0.72,1.00,0.70,0.16,0.86,0.70,0.86,Matches,,,,,,,
241,James Justin,eng ENG,DF,Leicester City,26-338,1998,21,21,"1,813",20.1,2,1,3,2,0,0,2,0,1.3,1.3,0.4,1.7,27,52,56,0.10,0.05,0.15,0.10,0.15,0.06,0.02,0.08,0.06,0.08,Matches,,,,,,,
242,Filip Jørgensen,dk DEN,GK,Chelsea,22-285,2002,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
243,Ferdi Kadioglu,tr TUR,"DF,MF",Brighton,25-111,1999,6,5,385,4.3,1,0,1,1,0,0,1,0,0.4,0.4,0.2,0.6,1,15,27,0.23,0.00,0.23,0.23,0.23,0.10,0.04,0.14,0.10,0.14,Matches,,,,,,,
244,Daichi Kamada,jp JPN,MF,Crystal Palace,28-174,1996,18,9,866,9.6,0,0,0,0,0,0,2,1,0.7,0.7,1.0,1.7,16,56,35,0.00,0.00,0.00,0.00,0.00,0.07,0.10,0.18,0.07,0.18,Matches,,,,,,,
245,Boubacar Kamara,fr FRA,MF,Aston Villa,25-064,1999,13,10,856,9.5,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.4,10,47,2,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches,,,,,,,
246,Michael Keane,eng ENG,DF,Everton,32-015,1993,10,9,813,9.0,2,0,2,2,0,0,4,0,0.4,0.4,0.1,0.5,1,12,3,0.22,0.00,0.22,0.22,0.22,0.05,0.01,0.06,0.05,0.06,Matches,,,,,,,
247,Caoimhín Kelleher,ie IRL,GK,Liverpool,26-064,1998,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
248,Lloyd Kelly,eng ENG,DF,Newcastle Utd,26-112,1998,9,4,299,3.3,0,1,1,0,0,0,2,0,0.4,0.4,0.5,0.8,0,9,2,0.00,0.30,0.30,0.00,0.30,0.11,0.14,0.25,0.11,0.25,Matches,,,,,,,
249,Milos Kerkez,hu HUN,DF,Bournemouth,21-080,2003,23,23,"1,997",22.2,2,3,5,2,0,0,3,0,0.4,0.4,2.9,3.2,54,100,107,0.09,0.14,0.23,0.09,0.23,0.02,0.13,0.15,0.02,0.15,Matches,,,,,,,
250,Bilal El Khannouss,ma MAR,MF,Leicester City,20-261,2004,17,12,929,10.3,1,1,2,1,0,0,1,0,0.4,0.4,1.8,2.2,23,58,32,0.10,0.10,0.19,0.10,0.19,0.04,0.18,0.21,0.04,0.21,Matches,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,,,,,,
251,Abdukodir Khusanov,uz UZB,DF,Manchester City,20-332,2004,1,1,53,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,,,,,,,
252,Max Kilman,eng ENG,DF,West Ham,27-248,1997,22,22,"1,908",21.2,0,1,1,0,0,0,3,0,1.4,1.4,0.8,2.2,20,86,3,0.00,0.05,0.05,0.00,0.05,0.07,0.04,0.11,0.07,0.11,Matches,,,,,,,
253,Joshua King,eng ENG,"MF,FW",Fulham,18-023,2007,5,1,80,0.9,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.6,1,4,9,0.00,0.00,0.00,0.00,0.00,0.22,0.48,0.70,0.22,0.70,Matches,,,,,,,
254,Antonín Kinský,cz CZE,GK,Tottenham,21-319,2003,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
255,Jakub Kiwior,pl POL,DF,Arsenal,24-346,2000,8,2,327,3.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,,,,,,,
256,Justin Kluivert,nl NED,"MF,FW",Bournemouth,25-266,1999,22,18,"1,440",16.0,11,4,15,5,6,6,6,0,8.1,3.4,3.0,6.4,46,58,98,0.69,0.25,0.94,0.31,0.56,0.51,0.18,0.69,0.21,0.40,Matches,,,,,,,
257,Ibrahima Konaté,fr FRA,DF,Liverpool,25-246,1999,16,15,"1,309",14.5,1,2,3,1,0,0,4,0,1.0,1.0,0.8,1.8,16,68,1,0.07,0.14,0.21,0.07,0.21,0.07,0.05,0.12,0.07,0.12,Matches,,,,,,,
