,Performance,Aerial Duels,,Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
76,Fabio Carvalho,pt POR,"FW,MF",Brentford,22-149,2002,4.8,1,0,0,5,10,1,10,3,9,0,0,0,28,2,6,25.0,Matches,,,,
77,Casemiro,br BRA,MF,Manchester Utd,32-338,1992,9.3,1,0,0,9,13,3,16,8,26,0,0,0,58,18,11,62.1,Matches,,,,
78,Kaelan Casey,eng ENG,DF,West Ham,20-090,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches,,,,
79,Matty Cash,pl POL,DF,Aston Villa,27-172,1997,13.0,5,0,0,19,8,1,16,16,19,0,2,0,42,12,11,52.2,Matches,,,,
80,Timothy Castagne,be BEL,DF,Fulham,29-052,1995,8.0,1,0,0,3,2,1,19,10,11,0,1,0,27,19,21,47.5,Matches,,,,
81,Trevoh Chalobah,eng ENG,DF,Crystal Palace,25-205,1999,11.8,1,0,0,10,15,1,7,19,16,0,0,0,56,22,19,53.7,Matches,,,,
82,Trevoh Chalobah,eng ENG,DF,Chelsea,25-205,1999,2.0,0,0,0,1,2,0,1,4,1,0,0,0,5,7,3,70.0,Matches,,,,
83,Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,27-345,1997,6.8,1,0,0,10,5,0,9,3,5,0,0,0,23,1,8,11.1,Matches,,,,
84,Federico Chiesa,it ITA,FW,Liverpool,27-093,1997,0.3,0,0,0,1,1,0,1,0,0,0,0,0,3,0,0,,Matches,,,,
85,Chiquinho,pt POR,MF,Wolves,24-356,2000,0.1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,,Matches,,,,
86,Hamza Choudhury,eng ENG,"MF,DF",Leicester City,27-117,1997,1.5,0,0,0,1,0,0,5,5,1,0,0,0,2,0,0,,Matches,,,,
87,Ryan Christie,sct SCO,MF,Bournemouth,29-339,1995,18.6,8,0,0,37,25,1,34,24,27,0,0,0,142,13,22,37.1,Matches,,,,
